StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q11,Q2,Q3,Q12,Q4,Q8,Q9
2021-05-18 15:22:29,2021-05-18 15:25:46,IP Address,97.113.132.228,100,196,True,2021-05-18 15:25:46,R_3L584AqEBXH9X4Z,,,,,47.5740966796875,-122.39749908447265625,anonymous,EN,X05XBR,no,Tom,Richard (Black),,Tom,1)She said it was clear but would have liked a little more room in the box to give treatment recommendations. 2) no 3) how people's different personalities affect how they differ in telehealth versus in clinic visits a) While doing the first post interview survey. -- I do not think they knew the true purpose of the study,no
2021-05-18 17:20:39,2021-05-18 17:23:16,IP Address,97.113.132.228,100,156,True,2021-05-18 17:23:16,R_DoP0YGjA7JuMNOh,,,,,47.5740966796875,-122.39749908447265625,anonymous,EN,X10GRHA,no,Tom,Bill (white),,Freddie,1)yes it was clear 2) no 3) that provider empathy increases stress when interaction include the patient having scarier interpersonal conflicts a)throughout the study as it went on. -- I do not think she knew the true study purpose,no
2021-05-19 12:22:36,2021-05-19 13:30:37,IP Address,67.183.228.238,100,4081,True,2021-05-19 13:30:37,R_3D6czIjqPAy7DKK,,,,,47.626007080078125,-122.0404052734375,anonymous,EN,LE0924BI,No,Tom,David (Black),,Tom,"1. no  2. covid screening and patients with chronic health conditions who have had bad providers before. first patient when he first started talking but second patient when he talked about previous provider.  3. increased stress levels lead to less effective interactions. because of all the surveys about stress. ",No
2021-05-20 15:32:58,2021-05-20 16:16:30,IP Address,24.143.110.102,100,2612,True,2021-05-20 16:16:31,R_120eseU90nh3e6k,,,,,47.6136932373046875,-122.310394287109375,anonymous,EN,HI04XBR,No,Tom,Jim (White),,Freddie,"Haven't done telemedicine, forgot that it wasn't just a role play - struggled. 2) how he has not accessed care in a while; could go really deep rather than stay with chief complaint; medications, no trouble standing--thought that chart was more severe than patient; one patient was resistant, one was willing to follow up on care. How does patient willingness affect quality of care? How can the provider engage patients based on personalities?","Tom said he didn't have any GI symptoms. "
2021-05-22 12:36:00,2021-05-22 13:25:23,IP Address,24.143.110.102,100,2962,True,2021-05-22 13:25:23,R_1LOPc2ki9C3UFWb,,,,,47.6136932373046875,-122.310394287109375,anonymous,EN,AI1121BR,no,Freddie,Bill (white),,Freddie,"Freddy had uncontrolled diabetes, barriers to management, resistant...hard to get him to come in, had a lot of other screening stuff; length of time since saw provider. Hard to guess hypotheses...Biases towards care with patients of different races. Had this thought when interacting with Freddy and Tom. Doesn't seem like a thought at the front of his awareness (not mentioned at all until the very last question) but is a thought he had throughout the study.",Freddy said no colon cancer screening
2021-05-25 15:23:57,2021-05-25 15:30:08,IP Address,97.113.132.228,100,370,True,2021-05-25 15:30:08,R_xonmHw9UY01GuGd,,,,,47.5740966796875,-122.39749908447265625,anonymous,EN,BA0433BL,no,Tom,Richard (Black),,Freddie,1) everything was clear except whether they were meant to discuss treatment plan with patients. 2) how the patients may have had to help guide/remind providers to stay on task or talk about certain things during the visit 2a) as the first patient asked her if there were any other concerns besides what she was talking about. 3) if providers are more stressed they may be more focused on the specific problem or straight forward and take less time to talk/chat with the patient. 3a) as she was reading about the study purpose.- I do not think she knew the true study purpose,"Richard playing Tom began to talk before he was unmuted but quickly fixed it himself and took a little long to leave, though he was not meant to have tech issues."
2021-05-26 11:24:17,2021-05-26 12:19:49,IP Address,67.183.228.238,100,3331,True,2021-05-26 12:19:49,R_U9hBNNN01LdAZ1L,,,,,47.626007080078125,-122.0404052734375,anonymous,EN,SA0575GR,No,Tom,David (Black),,Freddie,"1. everything clear  2. acute vs chronic, thought that when she saw their chief concerns  3. not sure, maybe comparing time it takes to see chronic vs acute, thought that when i prompted ","Participant had to wait for 5 minutes because first patient came a little late. "
2021-05-28 17:08:04,2021-05-28 17:12:59,IP Address,97.113.132.228,100,295,True,2021-05-28 17:13:00,R_xn4wyj5iJZ5hreV,,,,,47.5740966796875,-122.39749908447265625,anonymous,EN,MA12ELBL,no,Freddie,Bill (white),,Tom,1) everything was clear 2) how misinformed patients were and death anxiety of patients. 2a) as the freddy brought up death anxiety and Tom mentioned misinformation about Covid and the Vaccine 3) providers stress levels increase when controversial topics are brought up by patients 3a) as Tom started talking about Covid misinformation. I dont think she knew the true study purpose,"Richard did not turn on his camera so she did not know his race and also this implies tech difficulties which he wasnt supposed to have, so this data is likely unusable"
2021-05-29 15:25:31,2021-05-29 16:03:56,IP Address,24.143.110.102,100,2305,True,2021-05-29 16:03:57,R_2xYkaKf4nzonyw9,,,,,47.6136932373046875,-122.310394287109375,anonymous,EN,RE06TWBL,n/a,Freddie,David (Black),,Tom,how full the appointment is supposed to be; second was most concerning for the alcohol use; people are less comfortable talking about alcohol use; mentioned tech trouble of Freddy; medical students would have increased anxiety/hesitancy talking about difficult subject on Telehealth.,"no! "
2021-06-09 11:21:18,2021-06-09 12:21:58,IP Address,67.183.228.238,100,3640,True,2021-06-09 12:21:58,R_1CdXEpcDObqMvtm,,,,,47.626007080078125,-122.0404052734375,anonymous,EN,AN12LABR,No,Tom,Richard (Black),,Freddie,"1. nothing  2. getting onto the visits itself and their age (both elderly). thought this after the first patient seemed to have a lot of tech issues 3. seeing a distressed patient who couldn’t communicate would cause stress in the provider. thought this after she saw the second patient struggle. ","Richard/Tom had tech issues as well, but they did not appear to be on purpose. Said “I wasn’t supposed to have tech problems today!” but that didn’t seem to give anything away about the study "
2021-06-09 13:21:27,2021-06-09 14:40:33,IP Address,67.183.228.238,100,4746,True,2021-06-09 14:40:34,R_1jle634sv3y2yno,,,,,47.626007080078125,-122.0404052734375,anonymous,EN,BA11ANBR,No,Freddie,Richard (Black),,Tom,"1. nothing  2. first patient - dietary intake and lifestyle modification. second patient - covid fears, alcohol intake, screening tests and reestablishment of care. started thinking this after seeing the charts and hearing about not seeing the doctor after 10 years.  3. asking patients about their lifestyle, providers who are more calm might be more prone to asking questions about care. another hypothesis might be providers might get nervous after asking hard questions about care. started thinking this after talking to patients. ","The patient mentioned the provider was breaking up a bit but the issue was fixed quickly after the provider changed WiFis. "
2021-06-21 11:21:13,2021-06-21 11:51:17,IP Address,67.183.228.238,100,1804,True,2021-06-21 11:51:18,R_1QKESeG2DT6ZZYS,,,,,47.58709716796875,-122.0388031005859375,anonymous,EN,JE11WIBL,"No ",,,,,"Participant did not end up seeing either patient. ",
2021-06-29 10:00:19,2021-06-29 11:11:17,IP Address,67.183.228.238,100,4258,True,2021-06-29 11:11:18,R_1LtFAQnNUkUltET,,,,,47.5558929443359375,-121.9987030029296875,anonymous,EN,GI11WIBI,No,Tom,David (Black),,Freddie,"1. no  2. conditions were probably the highlight. first patient gave off short answers and second patient gave longer answers. thought this pretty early on.  3. higher stress person will interact with a patient differently ","1. While I was trying to type “yes” in the coding sheet I accidentally sent it in the zoom chat, and the medical student noticed, but didn’t question it. 2. i leaned on the space bar and a podcast started playing for a second while i was thanking her for telling me about her experiences with the study. PARTICIPANT ENTERED ID WRONG, SHOULD BE JE11WIBL"
2022-02-15 20:38:42,2022-02-15 20:38:46,IP Address,173.10.105.90,100,4,True,2022-02-15 20:38:46,R_3Ga25u3nQ3XawUH,,,,,47.6631011962890625,-122.3029022216796875,anonymous,EN,,,,,,,,
2022-03-09 10:18:40,2022-03-09 10:18:57,IP Address,173.10.105.90,100,16,True,2022-03-09 10:18:57,R_1LAt4wfiZTQRHkL,,,,,47.626007080078125,-122.0404052734375,anonymous,EN,,,,,,,,
2022-03-23 10:19:25,2022-03-23 11:25:55,IP Address,24.113.214.174,100,3989,True,2022-03-23 11:25:55,R_W8qthxfM2rBI3KN,,,,,47.6620941162109375,-122.6981048583984375,anonymous,EN,cccc,No,Freddie,Bill (white),,Freddie,"They don't seem to have known the true study purpose, and didn't consider a hypothesis until I prompted them to guess one.","Nothing odd happened during the study to my knowledge. "
2022-03-23 10:19:12,2022-03-23 11:26:03,IP Address,73.225.253.161,100,4010,True,2022-03-23 11:26:03,R_2v6OvGWqabOrSHG,,,,,47.717803955078125,-122.299896240234375,anonymous,EN,cccc,No- was 35 (in range),Freddie,Bill (white),,Freddie,"Participant said everything was outlined very clearly. Noticed one patient was more friendly than the other. Hypothesized that the friendly patients would make med students less anxious. Didn't know the true study purpose. ",No
2022-04-01 11:03:51,2022-04-01 13:29:33,IP Address,205.175.106.104,100,8742,True,2022-04-01 13:29:33,R_3JKk9jIW28cvX6r,,,,,47.6631011962890625,-122.3029022216796875,anonymous,EN,RA01BEHA,No,Freddie,Jim (White),David (Black),Tom,"1) Felt easier with the second one because I didn't know what to do in the first one. 2) personalities were different, he was more gruff; made this discovery after the second patient. 3) Hypotheses were how an MD's personality adjusts to different personalities in a virtual setting; this suspicion with the second patient. ","Davids wifi cut off for a second, this led him to freezing on the screen. The MD consulted me via chat, but I did not respond. So, both patients had technical difficulties. MD does not believe she performed correctly with the first patient; wishes there was more instruction. "
2022-04-04 10:42:32,2022-04-04 12:02:22,IP Address,173.10.105.90,100,4789,True,2022-04-04 12:02:22,R_pLa0HUaftIJRUWt,,,,,47.722900390625,-122.19609832763671875,anonymous,EN,Na10BuBr,no,Freddie,David (Black),Vid (White),Freddie,"1. no 2. no 3. certain provider personality traits like self confidence make providers less stressed especially with more complex cases. ",
2022-04-04 13:32:58,2022-04-04 13:56:38,IP Address,173.10.105.90,100,1419,True,2022-04-04 13:56:39,R_7VOuUWAwIXjmwjT,,,,,47.72290000000000276259015663526952266693115234375,-122.1961000000000012732925824820995330810546875,anonymous,EN,X07LABR,no,Tom,Vid (White),David (Black),Freddie,1. no 2. no 3. how physician stress and anxiety and emotional status affects their conversation during telehealth visits. maybe providers who are more stressed will have worse recommendations and interactions.,
2022-04-04 15:10:04,2022-04-04 16:53:36,IP Address,73.254.127.72,100,6212,True,2022-04-04 16:53:37,R_2CU6ZadzfvS6Jka,,,,,47.01109999999999899955582804977893829345703125,-122.875,anonymous,EN,LO0114GR,"They answered with an 8. After pushing back slightly, they kept it at an 8 and said they wouldn't go any higher than a 10 for lunch.",Freddie,Richard (Black),Jim (White),Tom,1. They thought it was off not knowing what the setting of the visit was (Urgent care vs. family medicine). 2. They believed that the standardized patients were trying to induce doubt in the provider by asking “anything else?” at the end of each visit. 3. They believe the hypothesis is the providers will have higher baseline anxiety in telehealth visits compared to in-person.,"The RA lost power during the 2nd patient interaction with Tom. I notified Katherine right away and she hopped on the Zoom, but there were no research personnel in the call for ~1.5minutes. "
2022-04-04 17:05:52,2022-04-04 18:31:17,IP Address,73.254.127.72,100,5124,True,2022-04-04 18:31:17,R_1dLiXZhNvaqgQms,,,,,47.01109999999999899955582804977893829345703125,-122.875,anonymous,EN,Th02NEBr,"No, they answered a 20 which is in range.",Tom,Jim (White),Richard (Black),Freddie,"1. Everything was clear. 2.Believes we were interested in the patient demographic, personality, and engagement with the medical system. Specifically their presenting symptoms and medical history. 3.Hypothesizes that provider stress/mood would positively or negatively impact the treatment plan and patient outcome.","Richard (Freddie) was in the waiting room and left right before he was meant to be admitted so I gave the participant Tom's chart and admitted Tom first. However, the 1st  pre-interaction survey was already filled out for Freddie's chart (meaning no pre-interaction survey for Tom and 2 for Freddie).  "
2022-04-09 10:35:21,2022-04-09 12:31:44,IP Address,73.225.253.161,100,6983,True,2022-04-09 12:31:45,R_3FIsuH1GESVVIDX,,,,,47.717803955078125,-122.299896240234375,anonymous,EN,Sp07PoBr,"No, they answered as a 15 which is in range.",Tom,Bill (white),Richard (Black),Freddie,"1. No, just clarifying question with relationship to patients and setting. 2. Personality due to psych study and maybe the dynamic between patient and provider. 3. The use of telehealth increases stress for not only providers but patients and was suspected when asked to report stress.",Tom had slight unplanned tech difficulties as well. Dr. took very long during Freddy meeting and Freddy left to use the restroom during the meeting.
2022-04-13 12:03:20,2022-04-14 12:38:06,IP Address,205.175.106.190,100,88486,True,2022-04-14 12:38:07,R_Zfp8qzXCbegcreh,,,,,47.6631,-122.3029,anonymous,EN,AN0662BL,no,Tom,Vid (White),Korvus (Black),Tom,"1. no 2. patients personality differences. second guy was much more personable and first patient was very guarded. First patient would have been better in person for body language; this is something you lose with telemedicine. first individual was white and second was african american. 3.  how much depth does provider go into in terms of asking questions and how much perspective do they get on a patient. additionally if there is a difference in treatment recommendations. She correctly guessed that we were studying race. ",
2022-04-18 11:39:34,2022-04-20 11:05:45,IP Address,173.10.105.90,100,170771,True,2022-04-20 11:05:48,R_3DjRRqPLOxFhhj2,,,,,47.7229,-122.1961,anonymous,EN,ju06ragr,no,Freddie,Vid (White),Korvus (Black),Freddie,"1. no 2. freddie easier to interact with and discuss things with, he was more forthcoming with information. freddie was a chronic condition and tom an acute condition.  3. how provider interacts with different types of patient personalities. how provider interacts with different races (noticed that one patient was african american and one caucasian). how much info provider can gather from patient based on provider and patient personality. ",
2022-04-20 11:45:32,2022-04-20 12:05:21,IP Address,173.10.105.90,100,1188,True,2022-04-20 12:05:21,R_3OownE9h7DSDFKJ,,,,,47.7229,-122.1961,anonymous,EN,DU05ONHA,no,Tom,Korvus (Black),Vid (White),Freddie,"1. no 2. expecting a really difficult patient but both were easy going 3. thinks there was an interest in patient personality and stress of provider. Easier and more likable patients induce less stress in providers. ",participant struggled a little to understand the instructions of the implicit bias test and what to click when; unsure if this affected initial performance but she seemed to get the hang of it once she started
2022-04-27 13:06:17,2022-04-27 13:43:00,IP Address,173.10.105.90,100,2203,True,2022-04-27 13:43:01,R_3oGDjYtYowD4wmE,,,,,46.6764,-120.5351,anonymous,EN,RO0824HA,no,Freddie,David (Black),Vid (White),Freddie,"1. no 2. differences in chronic vs acute; difference demographic backgrounds with family vs gf and white vs black. one more talkative and one very close ended 3. telehealth detracts from full exams and complete interactions and as a result amplifies differences in patients with different backgrounds, demographics, and conditions. (while he gave a lot of guesses and noticed a lot of things I do think he had suspicions that race was our primary interest factor). ",
2022-04-29 16:28:52,2022-04-29 17:30:37,IP Address,205.175.106.97,100,3704,True,2022-04-29 17:30:37,R_yrMNv6VXDWXbiwx,,,,,47.6631,-122.3029,anonymous,EN,ka10nebl,no,Tom,David (Black),Jim (White),Tom,"1. Everything was clear and straightforward. 2. Both patients were elderly men; they tend to me more technology adverse. Care delivery and follow-through of virtual visits - hidden challenge of wifi, and technological access. How to make technology more available to resource limited people for appointments. 3. Physicians mood may be impacted broadly by telehealth encounters. Getting better understanding of physician stress with telemedicine visits to see how to support them.  ","Nope! Everything in the study went normally. "
2022-04-29 18:16:50,2022-04-29 18:51:23,IP Address,205.175.106.97,100,2072,True,2022-04-29 18:51:23,R_1M51oNmKbasVaul,,,,,47.6631,-122.3029,anonymous,EN,x1124BR,No,Freddie,David (Black),Jim (White),Tom,"1. Last patient didn't know his birthday and it didn't match the system. 2. Believes their race may be studied, realized this when the patient said that they hadn't been to the doctor in 10 years. 3. Studying providers mood and mental state and how that correlates with treating patients. ","The provider is a first year medical student... I am not sure if they are allowed (I thought it was only 3rd and 4th years.) Also, one patient couldn't confirm their birthdate, and the provider was hesitant about continuing care because it did not match up on the chart. "
2022-04-30 12:46:54,2022-04-30 13:35:08,IP Address,73.225.253.161,100,2893,True,2022-04-30 13:35:08,R_3p5Ynx5GXW3lQUK,,,,,47.7178,-122.2999,anonymous,EN,MA0521BR,"No, they answered 25 which is in range",Freddie,Richard (Black),Bill (white),Tom,"1. Yes, discrepancies with information in chart vs patients answers which is common in healthcare so it isn’t much of a concern. 2. Tom was reserved and freddy wasn’t and that makes me think you’re interested in their personality and outcome of care. 3. The more information you have, the less stressed the provider will be during an encounter in a telehealth visit with established patients vs new patients. ",Medical student is a 1st year! Freddy's (Bill's) background fell down in the middle of his interaction. Med student treated it as a medical student working with attending rather than a primary provider.
2022-05-02 11:35:43,2022-05-02 12:30:54,IP Address,173.10.105.90,100,3311,True,2022-05-02 12:30:54,R_0uffA19qIrsaT6x,,,,,46.6764,-120.5351,anonymous,EN,Ly01NaHa,no,Tom,Korvus (Black),Vid (White),Freddie,1. no 2. patients had potentially stress inducing conditions for providers -- namely being anti-vax and then being hesitant to make any changes to improve condition 3. stressed providers take less time and spend less time with patients and have less of a relationship,
2022-05-02 15:41:52,2022-05-02 16:47:06,IP Address,73.254.127.72,100,3913,True,2022-05-02 16:47:06,R_2qkhkE6GYUSgAGY,,,,,46.9961,-122.7381,anonymous,EN,Lo09SiHa,"No, she answered 20 which is in range",Freddie,Jim (White),Richard (Black),Freddie,1. Everything was clear. 2. The second patient had no healthcare initiative. 3. People who have more open demeanor will have a better outcome in terms of coming to agreement with patient about treatment.,No
2022-05-02 16:49:35,2022-05-02 18:29:41,IP Address,73.254.127.72,100,6006,True,2022-05-02 18:29:41,R_RCvtG8SuhVep6db,,,,,46.9961,-122.7381,anonymous,EN,Jo04fuha,"No, they answered 22 which is in range",Freddie,Jim (White),Richard (Black),Tom,1. Everything was clear. 2. How to deal with frustrations in telemedicine. 3. Med students in telehealth will have stress and struggle with difficult patient scenarios regardless of personality.,"Participant mentioned that he has struggles with anxiety disorder. "
2022-05-03 17:27:31,2022-05-03 18:43:40,IP Address,24.143.110.102,100,4569,True,2022-05-03 18:43:40,R_3dSTKiY04vmBxsj,,,,,47.6137,-122.3104,anonymous,EN,sm06libl,no,Tom,David (Black),Bill (white),Tom,"everything clear; recommendation - time frame idea for an appointment would be helpful. no recent screening; thought the audio was intentional. Attitudes and thoughts going into it impact patient experiences and outcomes.  ","Freddy was muted too "
2022-05-03 19:06:19,2022-05-03 19:51:03,IP Address,24.143.110.102,100,2684,True,2022-05-03 19:51:04,R_RkUxqmA40GjvcXf,,,,,47.6137,-122.3104,anonymous,EN,MI10DABL,n/a,Freddie,Bill (white),David (Black),Tom,"instructions clear, thought the gunshots were part of the study, patient 1 rocking back and forth, wiping face, anxiety. challenges of telehealth, tech difficulties. Hypothesis: providers prone to anxiety leading up would be more challenged over zoom, harder to develop rapport",probable gunshots during Freddy's visit
2022-05-02 13:28:26,2022-05-04 10:58:49,IP Address,173.10.105.90,100,163823,True,2022-05-04 10:58:50,R_2YCV6K53bu4y9KX,,,,,46.6764,-120.5351,anonymous,EN,x03LIBR,no,Freddie,Vid (White),Korvus (Black),Tom,"1. no 2. reoccurring topic of both patients being here because of their wives/gfs. its hard to built a relationship with the patient when the patient doesn't want to be there 3. the more complex the patient is and the harder it is to build a relationship with them, the harder it is to build a relationship and the harder it is to treat them","the second patient, tom/vid was REALLY harsh towards the provider which I think really threw them off. I think the last set of surveys really threw him off as well because race was not at all on his radar and he was struggling to understand the strongly agree/strongly disagree questions and i think was very flustered after the second interaction with tom"
2022-05-04 10:59:16,2022-05-04 11:57:55,IP Address,173.10.105.90,100,3519,True,2022-05-04 11:57:56,R_1rHQZ8k7MHv6IT7,,,,,46.6764,-120.5351,anonymous,EN,MI0934bl,no,Freddie,Vid (White),Korvus (Black),Freddie,1. no 2. two patients were both a little reluctant to get medical health and both advised by someone else to be seen by a provider. 3. how physician stress level affects diagnosis capability or ability to ask questions and get information from patients with different attitudes. (she didn't mention anything about race; i don't think she knew the true purpose),
2022-05-04 12:27:54,2022-05-04 13:30:43,IP Address,173.10.105.90,100,3769,True,2022-05-04 13:30:44,R_2X0YZ66IjmfPcn9,,,,,46.6764,-120.5351,anonymous,EN,KA11KEBL,no,Freddie,David (Black),Vid (White),Freddie,"1. no 2. both patients hadn't had care in a while and there seemed to be a lack of trust in the healthcare system 3. physican bias especially revolving covid and being unvaccinated. theres a lot of physician burnout and resentment towards patients who are not vaccinated and this might negatively impact the quality of care. (i do not think they knew the true study purpose, they made no mention of race though they did discuss other biases)","tom was not supposed to have tech issues but his audio stopped working for a little bit towards the end. additionally there was a lot of confusion from the actors. vid had the wrong instructions written down and we were able to figure it out privately but the provider was waiting for a while for him to join the call. additionally the actor for tom did not show up and an alternate was used. "
2022-05-07 10:48:25,2022-05-07 12:03:28,IP Address,73.254.127.72,100,4502,True,2022-05-07 12:03:28,R_2qxtx3PVc2bLRm7,,,,,46.9961,-122.7381,anonymous,EN,ma10aibl,"No, they answered 35 which is in range",Freddie,Bill (white),Richard (Black),Freddie,"1. No 2. Interested in middle-aged elderly men, tech difficulties, racial identity, racial stereotypes (fried chicken), Tom being confused. 3. Increased anxiety decreases level of care","Tom also acted out tech difficulties when he was not prompted to. "
2022-05-07 12:28:53,2022-05-07 13:59:36,IP Address,73.254.127.72,100,5443,True,2022-05-07 13:59:37,R_31RckdtC0sf6hnd,,,,,46.9961,-122.7381,anonymous,EN,Cl0328Br,"No, they answered 16 which is in range",Tom,Bill (white),Richard (Black),Tom,"1. The chart is confusing when compared to EPIC and other charting systems because of the inability to interact and the obvious photoshop. 2. Tech difficulties, racial component, diabetes management (chronic disease management for black patients) 3. How stress levels prior to encounter affect patient care and how it interplays with race. Certain things that occur during encounter will increase stress like tech difficulties, etc. ","Freddy had poor wifi connection which caused some glitching and his mic to stop functioning momentarily at the beginning of the interaction. "
